UCMerced Buildings Dataset - Filter Performance Report
=====================================================

Configuration:
  Threads: 16
  Input folder: C:\Users\DELL\Downloads\UCMerced_LandUse\UCMerced_LandUse\Images\buildings
  Total images processed: 100

Filter Performance Summary:
===========================

Edge Detection:
  Images processed: 100
  Total time: 216.00 ms
  Average time: 2.16 ms
  Min time: 2.00 ms
  Max time: 3.00 ms

Gaussian Blur:
  Images processed: 100
  Total time: 2259.00 ms
  Average time: 22.59 ms
  Min time: 17.00 ms
  Max time: 54.00 ms

Laplacian:
  Images processed: 100
  Total time: 835.00 ms
  Average time: 8.35 ms
  Min time: 6.00 ms
  Max time: 15.00 ms

Sharpening:
  Images processed: 100
  Total time: 835.00 ms
  Average time: 8.35 ms
  Min time: 7.00 ms
  Max time: 14.00 ms

Sobel Magnitude:
  Images processed: 100
  Total time: 1458.00 ms
  Average time: 14.58 ms
  Min time: 11.00 ms
  Max time: 24.00 ms

Sobel X:
  Images processed: 100
  Total time: 1484.00 ms
  Average time: 14.84 ms
  Min time: 11.00 ms
  Max time: 23.00 ms

Sobel Y:
  Images processed: 100
  Total time: 210.00 ms
  Average time: 2.10 ms
  Min time: 2.00 ms
  Max time: 5.00 ms


Detailed Results:
=================

Image Name                    Filter              Time (ms)      Status    
buildings08                   Sobel Magnitude     13.00          OK        
buildings09                   Sobel Magnitude     14.00          OK        
buildings10                   Sobel Magnitude     14.00          OK        
buildings11                   Sobel Magnitude     14.00          OK        
buildings12                   Sobel Magnitude     14.00          OK        
buildings13                   Sobel Magnitude     14.00          OK        
buildings14                   Sobel Magnitude     13.00          OK        
buildings15                   Sobel Magnitude     14.00          OK        
buildings16                   Sobel Magnitude     13.00          OK        
buildings17                   Sobel Magnitude     15.00          OK        
buildings18                   Sobel Magnitude     14.00          OK        
buildings19                   Sobel Magnitude     15.00          OK        
buildings20                   Sobel Magnitude     20.00          OK        
buildings21                   Sobel Magnitude     14.00          OK        
buildings22                   Sobel Magnitude     18.00          OK        
buildings23                   Sobel Magnitude     12.00          OK        
buildings24                   Sobel Magnitude     15.00          OK        
buildings25                   Sobel Magnitude     23.00          OK        
buildings26                   Sobel Magnitude     21.00          OK        
buildings27                   Sobel Magnitude     17.00          OK        
buildings28                   Sobel Magnitude     19.00          OK        
buildings29                   Sobel Magnitude     17.00          OK        
buildings30                   Sobel Magnitude     17.00          OK        
buildings31                   Sobel Magnitude     12.00          OK        
buildings32                   Sobel Magnitude     13.00          OK        
buildings33                   Sobel Magnitude     13.00          OK        
buildings34                   Sobel Magnitude     13.00          OK        
buildings35                   Sobel Magnitude     14.00          OK        
buildings36                   Sobel Magnitude     13.00          OK        
buildings37                   Sobel Magnitude     14.00          OK        
buildings38                   Sobel Magnitude     12.00          OK        
buildings39                   Sobel Magnitude     11.00          OK        
buildings40                   Sobel Magnitude     13.00          OK        
buildings41                   Sobel Magnitude     19.00          OK        
buildings42                   Sobel Magnitude     14.00          OK        
buildings43                   Sobel Magnitude     14.00          OK        
buildings44                   Sobel Magnitude     14.00          OK        
buildings45                   Sobel Magnitude     13.00          OK        
buildings46                   Sobel Magnitude     13.00          OK        
buildings47                   Sobel Magnitude     13.00          OK        
buildings48                   Sobel Magnitude     15.00          OK        
buildings49                   Sobel Magnitude     12.00          OK        
buildings50                   Sobel Magnitude     23.00          OK        
buildings51                   Sobel Magnitude     14.00          OK        
buildings52                   Sobel Magnitude     13.00          OK        
buildings53                   Sobel Magnitude     13.00          OK        
buildings54                   Sobel Magnitude     12.00          OK        
buildings55                   Sobel Magnitude     13.00          OK        
buildings56                   Sobel Magnitude     13.00          OK        
buildings57                   Sobel Magnitude     15.00          OK        
buildings58                   Sobel Magnitude     13.00          OK        
buildings59                   Sobel Magnitude     19.00          OK        
buildings60                   Sobel Magnitude     19.00          OK        
buildings61                   Sobel Magnitude     12.00          OK        
buildings62                   Sobel Magnitude     13.00          OK        
buildings63                   Sobel Magnitude     12.00          OK        
buildings64                   Sobel Magnitude     13.00          OK        
buildings65                   Sobel Magnitude     13.00          OK        
buildings66                   Sobel Magnitude     13.00          OK        
buildings67                   Sobel Magnitude     13.00          OK        
buildings68                   Sobel Magnitude     18.00          OK        
buildings69                   Sobel Magnitude     12.00          OK        
buildings70                   Sobel Magnitude     13.00          OK        
buildings71                   Sobel Magnitude     13.00          OK        
buildings72                   Sobel Magnitude     13.00          OK        
buildings73                   Sobel Magnitude     18.00          OK        
buildings74                   Sobel Magnitude     13.00          OK        
buildings75                   Sobel Magnitude     12.00          OK        
buildings76                   Sobel Magnitude     12.00          OK        
buildings77                   Sobel Magnitude     12.00          OK        
buildings78                   Sobel Magnitude     12.00          OK        
buildings79                   Sobel Magnitude     13.00          OK        
buildings80                   Sobel Magnitude     14.00          OK        
buildings81                   Sobel Magnitude     18.00          OK        
buildings82                   Sobel Magnitude     24.00          OK        
buildings83                   Sobel Magnitude     15.00          OK        
